id_aluno,nome_aluno,turma,trimestre,data,ano_letivo,disciplina,nota,faltas
08f39f2a,Sofia,1,1,2025-03-15,1,Matemática,2.48,0.31
08f39f2a,Sofia,1,1,2025-03-21,1,Física,4.78,0.13
08f39f2a,Sofia,1,1,2025-03-22,1,Química,6.76,0.35
08f39f2a,Sofia,1,1,2025-03-25,1,Biologia,5.49,0.29
08f39f2a,Sofia,1,1,2025-03-05,1,Português,7.63,0.77
08f39f2a,Sofia,1,1,2025-03-21,1,História,4.48,0.91
08f39f2a,Sofia,1,1,2025-03-24,1,Geografia,8.97,0.78
08f39f2a,Sofia,1,1,2025-03-19,1,Filosofia,0.58,0.33
08f39f2a,Sofia,1,1,2025-03-13,1,Sociologia,4.22,0.72
08f39f2a,Sofia,1,1,2025-03-03,1,Inglês,6.09,0.4
08f39f2a,Sofia,1,2,2025-06-19,1,Matemática,3.77,0.82
08f39f2a,Sofia,1,2,2025-06-04,1,Física,8.37,0.96
08f39f2a,Sofia,1,2,2025-06-16,1,Química,6.41,0.1
08f39f2a,Sofia,1,2,2025-06-05,1,Biologia,7.95,0.38
08f39f2a,Sofia,1,2,2025-06-10,1,Português,8.38,0.55
08f39f2a,Sofia,1,2,2025-06-19,1,História,3.47,0.97
08f39f2a,Sofia,1,2,2025-06-23,1,Geografia,9.68,0.72
08f39f2a,Sofia,1,2,2025-06-04,1,Filosofia,7.91,0.38
08f39f2a,Sofia,1,2,2025-06-05,1,Sociologia,5.25,0.1
08f39f2a,Sofia,1,2,2025-06-20,1,Inglês,5.71,0.5
08f39f2a,Sofia,1,3,2025-09-26,1,Matemática,2.31,0.55
08f39f2a,Sofia,1,3,2025-09-23,1,Física,2.14,0.01
08f39f2a,Sofia,1,3,2025-09-10,1,Química,6.54,0.44
08f39f2a,Sofia,1,3,2025-09-06,1,Biologia,5.44,0.99
08f39f2a,Sofia,1,3,2025-09-27,1,Português,2.34,0.43
08f39f2a,Sofia,1,3,2025-09-14,1,História,0.29,0.49
08f39f2a,Sofia,1,3,2025-09-23,1,Geografia,3.98,0.42
08f39f2a,Sofia,1,3,2025-09-12,1,Filosofia,1.11,0.79
08f39f2a,Sofia,1,3,2025-09-01,1,Sociologia,3.08,0.26
08f39f2a,Sofia,1,3,2025-09-03,1,Inglês,0.6,0.46
806b0639,Vanessa,1,1,2025-03-26,1,Matemática,7.08,0.6
806b0639,Vanessa,1,1,2025-03-28,1,Física,6.9,0.69
806b0639,Vanessa,1,1,2025-03-02,1,Química,9.32,0.35
806b0639,Vanessa,1,1,2025-03-22,1,Biologia,0.18,0.75
806b0639,Vanessa,1,1,2025-03-04,1,Português,3.04,0.09
806b0639,Vanessa,1,1,2025-03-08,1,História,4.05,0.76
806b0639,Vanessa,1,1,2025-03-07,1,Geografia,7.47,0.28
806b0639,Vanessa,1,1,2025-03-26,1,Filosofia,7.37,0.6
806b0639,Vanessa,1,1,2025-03-16,1,Sociologia,6.23,0.2
806b0639,Vanessa,1,1,2025-03-24,1,Inglês,7.33,0.8
806b0639,Vanessa,1,2,2025-06-28,1,Matemática,2.84,0.98
806b0639,Vanessa,1,2,2025-06-19,1,Física,1.99,0.76
806b0639,Vanessa,1,2,2025-06-02,1,Química,7.63,0.52
806b0639,Vanessa,1,2,2025-06-20,1,Biologia,2.57,0.01
806b0639,Vanessa,1,2,2025-06-06,1,Português,4.35,0.59
806b0639,Vanessa,1,2,2025-06-14,1,História,2.22,0.54
806b0639,Vanessa,1,2,2025-06-14,1,Geografia,5.06,0.25
806b0639,Vanessa,1,2,2025-06-11,1,Filosofia,0.77,0.85
806b0639,Vanessa,1,2,2025-06-16,1,Sociologia,8.07,0.39
806b0639,Vanessa,1,2,2025-06-24,1,Inglês,2.71,0.19
806b0639,Vanessa,1,3,2025-09-23,1,Matemática,8.42,0.38
806b0639,Vanessa,1,3,2025-09-24,1,Física,9.43,0.46
806b0639,Vanessa,1,3,2025-09-13,1,Química,7.27,0.09
806b0639,Vanessa,1,3,2025-09-20,1,Biologia,2.54,0.04
806b0639,Vanessa,1,3,2025-09-11,1,Português,3.23,0.58
806b0639,Vanessa,1,3,2025-09-12,1,História,5.39,0.46
806b0639,Vanessa,1,3,2025-09-25,1,Geografia,9.73,0.19
806b0639,Vanessa,1,3,2025-09-08,1,Filosofia,4.71,0.71
806b0639,Vanessa,1,3,2025-09-20,1,Sociologia,5.51,0.65
806b0639,Vanessa,1,3,2025-09-02,1,Inglês,8.93,0.26
d8fd00ea,Paula,1,1,2025-03-10,1,Matemática,6.77,0.63
d8fd00ea,Paula,1,1,2025-03-07,1,Física,6.28,0.69
d8fd00ea,Paula,1,1,2025-03-17,1,Química,3.82,0.88
d8fd00ea,Paula,1,1,2025-03-28,1,Biologia,1.87,0.34
d8fd00ea,Paula,1,1,2025-03-24,1,Português,6.37,0.63
d8fd00ea,Paula,1,1,2025-03-11,1,História,9.08,0.15
d8fd00ea,Paula,1,1,2025-03-12,1,Geografia,9.91,0.95
d8fd00ea,Paula,1,1,2025-03-28,1,Filosofia,0.48,0.57
d8fd00ea,Paula,1,1,2025-03-16,1,Sociologia,0.36,0.31
d8fd00ea,Paula,1,1,2025-03-07,1,Inglês,0.5,0.4
d8fd00ea,Paula,1,2,2025-06-01,1,Matemática,7.56,0.56
